Ticker,Open,Close
AAPL,71.72101143907315,72.716064453125
MSFT,151.5668042700807,153.32321166992188
PLTR,-1,-1
AAPL,71.94132818321717,72.00911712646484
MSFT,151.12774851363613,151.4141082763672
PLTR,-1,-1
AAPL,71.12785100771227,72.58289337158203
MSFT,149.9440697335836,151.80548095703125
PLTR,-1,-1
AAPL,72.59259363206662,72.24154663085938
MSFT,152.0823464607139,150.42138671875
PLTR,-1,-1
AAPL,71.94375136900179,73.40364074707031
MSFT,151.71004582761572,152.81735229492188
PLTR,-1,-1
AAPL,74.38415077218049,74.96278381347656
MSFT,154.48785857360957,154.72650146484375
PLTR,-1,-1
AAPL,75.19765137920673,75.13227844238281
MSFT,155.42335075837863,154.0105743408203
PLTR,-1,-1
AAPL,75.44942915816804,76.73741912841797
MSFT,154.41142871062885,155.8623809814453
PLTR,-1,-1
AAPL,76.67448226895164,75.70121765136719
MSFT,155.96741840076578,154.76466369628906
PLTR,-1,-1
AAPL,75.50025324844553,75.37677764892578
MSFT,155.23241007287436,155.7669677734375
PLTR,-1,-1
AAPL,75.92151312955643,76.32098388671875
MSFT,156.88381193227306,158.62112426757812
PLTR,-1,-1
AAPL,76.57037231867773,77.16595458984375
MSFT,159.81433587734148,159.50888061523438
PLTR,-1,-1
AAPL,76.79310129941813,76.64299774169922
MSFT,159.1079578324649,158.93614196777344
PLTR,-1,-1
AAPL,77.1296258918447,76.91658020019531
MSFT,159.7952693085153,158.17250061035156
PLTR,-1,-1
AAPL,76.96985393819801,77.2870101928711
MSFT,158.64022699310001,159.14614868164062
PLTR,-1,-1
AAPL,77.53394558679635,77.06426239013672
MSFT,159.90025784938828,157.54246520996094
PLTR,-1,-1
AAPL,75.06691204410036,74.79817962646484
MSFT,153.82916663173845,154.9078369140625
PLTR,-1,-1
AAPL,75.68184343719155,76.91415405273438
MSFT,156.3397174739805,157.9434051513672
PLTR,-1,-1
AAPL,78.55080525794223,78.524169921875
MSFT,160.21526233672495,160.4061737060547
PLTR,-1,-1
AAPL,77.60415017442514,78.41035461425781
MSFT,166.14312619597655,164.93081665039062
PLTR,-1,-1
AAPL,77.69859068080466,74.93376159667969
MSFT,164.38671987016806,162.4966583251953
PLTR,-1,-1
AAPL,73.67238698147514,74.72796630859375
MSFT,162.6875769178481,166.45814514160156
PLTR,-1,-1
AAPL,76.33794793595989,77.19499969482422
MSFT,169.09277453982233,171.93739318847656
PLTR,-1,-1
AAPL,78.32562874403418,77.82447814941406
MSFT,175.66978656794012,171.72740173339844
PLTR,-1,-1
AAPL,78.09565020914057,78.73480224609375
MSFT,172.74880025877843,175.2879638671875
PLTR,-1,-1
AAPL,78.23241868458796,77.66455078125
MSFT,174.54338497300552,175.5361328125
PLTR,-1,-1
AAPL,76.24489635857795,78.03343963623047
MSFT,175.24023833430923,180.1276397705078
PLTR,-1,-1
AAPL,78.53093937088862,77.5626449584961
MSFT,181.9890534343469,176.06117248535156
PLTR,-1,-1
AAPL,78.01402569685219,79.40457916259766
MSFT,177.1493659071914,176.3188934326172
PLTR,-1,-1
AAPL,78.67410664216737,78.83912658691406
MSFT,174.7629950286405,175.3643798828125
PLTR,-1,-1
AAPL,78.80759072301922,78.85855865478516
MSFT,174.92523403532266,176.92984008789062
PLTR,-1,-1
AAPL,76.5312490357775,77.41460418701172
MSFT,177.17799477429256,178.72439575195312
PLTR,-1,-1
AAPL,77.65728500864738,78.53578186035156
MSFT,180.00703527611827,179.26043701171875
PLTR,-1,-1
AAPL,78.29551817542524,77.73007202148438
MSFT,178.94456451309836,176.5229034423828
PLTR,-1,-1
AAPL,77.32239667498202,75.97067260742188
MSFT,175.3264467677573,170.94256591796875
PLTR,-1,-1
AAPL,72.13876186738017,72.36202239990234
MSFT,160.58587278820414,163.572265625
PLTR,-1,-1
AAPL,73.03425797216033,69.91097259521484
MSFT,166.74054294898085,160.873046875
PLTR,-1,-1
AAPL,69.53481005262495,71.02000427246094
MSFT,162.4427931635171,162.88308715820312
PLTR,-1,-1
AAPL,68.21705893027021,66.37754821777344
MSFT,156.32640584745195,151.406494140625
PLTR,-1,-1
AAPL,62.43159658691093,66.3387222290039
MSFT,145.88361772869663,155.07252502441406
PLTR,-1,-1
AAPL,68.50343166746465,72.5149154663086
MSFT,158.23123633263182,165.39093017578125
PLTR,-1,-1
AAPL,73.69433636090781,70.2118911743164
MSFT,166.35763579873682,157.46543884277344
PLTR,-1,-1
AAPL,71.93976087414214,73.46863555908203
MSFT,161.27502536097947,163.24681091308594
PLTR,-1,-1
AAPL,71.71650028960082,71.08554077148438
MSFT,158.93955071049004,159.15013122558594
PLTR,-1,-1
AAPL,68.43549184953756,70.14152526855469
MSFT,155.64681123678955,154.65135192871094
PLTR,-1,-1
AAPL,64.00660075736148,64.59388732910156
MSFT,144.53395956977954,144.17022705078125
PLTR,-1,-1
AAPL,67.25606913589775,69.24603271484375
MSFT,151.38741218226505,154.0292205810547
PLTR,-1,-1
AAPL,67.31673591637701,66.84107971191406
MSFT,150.40148636834232,147.05136108398438
PLTR,-1,-1
AAPL,62.11127620771815,60.24021911621094
MSFT,139.07808679635838,133.10528564453125
PLTR,-1,-1
AAPL,64.28324334840872,67.45748138427734
MSFT,141.183879021812,152.02871704101562
PLTR,-1,-1
AAPL,58.71619032815072,58.77928924560547
MSFT,134.00500400850265,129.62112426757812
PLTR,-1,-1
AAPL,60.06548110830406,61.36381530761719
MSFT,134.00501498499003,140.29368591308594
PLTR,-1,-1
AAPL,58.18714954728448,59.86163330078125
MSFT,132.09065546935233,134.38787841796875
