Date,Ticker,Open,Close
2024-01-02,AAPL,186.03307200647276,184.53208923339844
2024-01-02,MSFT,370.3424737462839,367.380615234375
2024-01-02,NVDA,49.23004169676173,48.15434646606445
2024-01-02,GOOGL,138.0495612625078,137.67092895507812
2024-01-02,AMZN,151.5399932861328,149.92999267578125
2024-01-02,META,349.9830865162906,344.97222900390625
2024-01-02,TSLA,250.0800018310547,248.4199981689453
2024-01-02,BRK-B,356.32000732421875,362.4599914550781
2024-01-02,V,257.2078747226845,256.4747314453125
2024-01-02,JNJ,150.90624138377876,153.82955932617188
2024-01-02,XOM,96.72583816639333,98.10599517822266
2024-01-02,WMT,51.79583481644757,52.46778106689453
2024-01-02,JPM,164.2978585140371,167.203125
2024-01-02,MA,421.0304235250338,418.8463134765625
2024-01-02,PG,141.9393327362666,144.24745178222656
2024-01-02,HD,335.98060822006533,336.8298034667969
2024-01-02,CVX,142.21771256212278,141.734130859375
2024-01-02,LLY,575.6542819806643,587.3477172851562
2024-01-02,MRK,106.25967896519224,110.23126983642578
2024-01-02,ABBV,148.04123107570763,152.74339294433594
2024-01-02,PEP,164.2599135031608,167.5447235107422
2024-01-02,KO,57.057374602544556,58.04714584350586
2024-01-02,BAC,32.56139654829566,33.05874252319336
2024-01-02,PFE,26.773712064441774,27.56171989440918
2024-01-02,AVGO,107.76054315701123,107.09550476074219
2024-01-02,COST,651.0540996528487,646.1581420898438
2024-01-02,CSCO,48.567385142989444,48.58662033081055
2024-01-02,ORCL,103.00409349048715,102.55076599121094
2024-01-02,MCD,286.4153546246597,288.3471374511719
2024-01-02,CRM,259.09287586294255,254.70736694335938
2024-01-02,ACN,342.6812317600701,341.43133544921875
2024-01-02,DHR,228.87284170413014,233.7816619873047
2024-01-02,TXN,162.96739344204155,163.36309814453125
2024-01-02,LIN,404.8422859642914,404.6446838378906
2024-01-02,NEE,58.355873842763685,59.33891296386719
2024-01-02,ABT,106.85563094508082,107.13847351074219
2024-01-02,DIS,89.2905828005454,89.89510345458984
2024-01-02,TMUS,157.47279796038288,159.02464294433594
2024-01-02,AMD,144.27999877929688,138.5800018310547
2024-01-02,NFLX,483.19000244140625,468.5
2024-01-02,NKE,105.26244395227441,104.22557067871094
2024-01-02,UPS,147.60586407859083,148.92259216308594
2024-01-02,PM,89.34160186791297,90.99854278564453
2024-01-02,UNH,518.7185715383381,531.02587890625
2024-01-02,LOW,215.19582791267717,213.63253784179688
2024-01-02,INTC,48.54978086907395,47.16828155517578
2024-01-02,HON,203.40456621537908,203.54090881347656
